cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,nllb_noft_spBLEU_mean_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
3.5779317799136834,2.5286895379588588,3.4592072605209965,0.0066436506,0.0020820128,0.006583585,0.005445797,0.003989489,0.008858867,0.00285484,0.031736586,0.0042605377,0.016212134,0.0076153725,0.0062338747,0.0064858086,0.005107668,0.010489317,0.0041203424,0.0035911002,0.008654027,0.009824499,0.01610554,0.0032392903,0.008288578,0.0055487007,0.0034414814,0.011122225,0.0039105234,0.00474798,0.008082608,0.0048717763,0.0034044948,0.020399084,0.010388722,0.005079037,0.009157139,0.015874047,0.0033806465,0.056370962,0.65579766,0.031970074580079985,4150.0,0.05795516540226846,0.08531421316457069,0.09980164321473174,sin,False,True,True,True,True,True,True
3.4959477332687063,5.575491253164811,1.7821014216129698,0.006683602,0.0026934412,0.007665123,0.005532894,0.003924596,0.0103662405,0.0023008357,0.03381365,0.0036891673,0.015479913,0.013195786,0.0063585625,0.00682447,0.0050519817,0.010471119,0.0032044337,0.0038594105,0.009847666,0.00886704,0.017186651,0.0029703502,0.007273305,0.0043365974,0.004240007,0.011750678,0.003934734,0.0047089634,0.007584723,0.005278299,0.003178487,0.01701814,0.010565504,0.00515309,0.009410454,0.016417222,0.003322626,0.05791059,0.6479296,0.03425074027445287,3050.0,0.03474968358586778,0.21890247256804365,0.19146223072619192,fao,False,True,True,True,True,True,True
3.5436928989247987,1.9957418916955234,9.56348164446373,0.0061115287,0.0129137235,0.005021733,0.005166148,0.0040800544,0.009334396,0.0046606567,0.017536646,0.0036072289,0.012954364,0.01200366,0.0063144765,0.0060517937,0.005352135,0.009141053,0.003334955,0.0035418097,0.008600058,0.006878036,0.03654083,0.0028117744,0.007312022,0.0034881246,0.0031936835,0.010790912,0.0040713944,0.004404766,0.0068997545,0.004701274,0.0035633123,0.010797133,0.010922836,0.0049097273,0.012115696,0.015008708,0.003227733,0.05534386,0.657292,0.0244921113315404,3900.0,0.043122916457753374,0.06006218640877837,0.08548734338578713,amh,False,True,True,True,True,True,True
3.5888786919003066,3.1486148990704548,3.651608244571738,0.0075865192,0.002575685,0.007069749,0.004656104,0.0031628304,0.013155145,0.0018142816,0.032095335,0.0039387145,0.01296586,0.012426412,0.006852654,0.007392953,0.0052574947,0.011552587,0.003156585,0.0039670174,0.00829194,0.008089475,0.021640876,0.0030117282,0.0077632465,0.0036357292,0.004406643,0.011331867,0.004212169,0.0037262142,0.0074740113,0.0044176886,0.0037331444,0.016307097,0.0100352345,0.004878804,0.0059878337,0.016495746,0.0032011964,0.05928459,0.6524488,0.03898812736562638,3400.0,0.06756719733830305,0.1354550153122868,0.14651846647464653,tgl,False,True,True,True,True,True,True
3.490425236747994,13.550362085090018,1.2640915252574252,0.0073729055,0.0024441094,0.0055127847,0.004322251,0.003886398,0.008530797,0.0030309355,0.035276942,0.0031438586,0.014153207,0.013750203,0.006673289,0.0060147215,0.00551937,0.010128331,0.0031816873,0.0031387762,0.008261973,0.008695525,0.019845763,0.0027476985,0.0080845505,0.0043424307,0.003434816,0.011040286,0.004157748,0.004653206,0.008080317,0.005176752,0.0035815767,0.016007714,0.010590351,0.0053407797,0.007940016,0.01590306,0.0031732682,0.058335416,0.6545261,0.023299491571475643,3400.0,0.08491583735275036,0.2920003434410634,0.12618701504683155,lmo,False,True,True,True,True,True,True
3.517390664662314,2.430152473824049,3.6175272853662674,0.0065715746,0.0027841956,0.006630099,0.005358706,0.0037407721,0.009358655,0.0031422288,0.030780334,0.0036411881,0.013038306,0.014427734,0.006448689,0.0068452084,0.0054851538,0.009314543,0.0036222502,0.0036062337,0.009320197,0.008053323,0.019242106,0.0030474449,0.0073712445,0.0039769374,0.0037116092,0.01028777,0.003941719,0.004728987,0.008068254,0.005189992,0.0033356163,0.016749594,0.010337414,0.005178896,0.011345448,0.015709808,0.0030514975,0.057279736,0.65527654,0.02491528376424801,3300.0,0.05512009364343438,0.27204867190742765,0.11628825994499845,arz,False,True,True,True,True,True,True
3.521449221730728,3.630100494767068,3.210572975518679,0.0077033592,0.0034629102,0.005942959,0.005715162,0.0038244077,0.007675086,0.0033574714,0.035187624,0.0037617602,0.018576983,0.014677027,0.0065981,0.0056626624,0.00609726,0.009213183,0.003806341,0.0035845644,0.010508895,0.008198108,0.018387938,0.002880646,0.008794109,0.0038920052,0.004318998,0.010630156,0.0041863313,0.00454004,0.008614344,0.005426854,0.0042497367,0.01790623,0.010419381,0.0038271495,0.008534768,0.016731262,0.0032003082,0.05896895,0.640937,0.03286286813441615,3800.0,0.05673536451818009,0.12866421008103743,0.06908366181432224,kaz,False,True,True,True,True,True,True
3.4789325064319008,4.221354991999924,4.453583153884315,0.00756794,0.0024871815,0.0067425533,0.0042049717,0.004343871,0.0092195375,0.001554812,0.03490517,0.0038034134,0.01366095,0.01506415,0.005691491,0.0070522255,0.0054299524,0.008932181,0.0038491345,0.003656044,0.008384251,0.008470512,0.018577725,0.0030804737,0.008141269,0.004206045,0.003967723,0.011954787,0.003975466,0.0046387655,0.007654035,0.0046227053,0.0035359685,0.01655601,0.0095656635,0.0052054627,0.010374474,0.014977306,0.0032315203,0.059566624,0.6511477,0.027399980932420815,3900.0,0.02752791500851313,0.11972255266303532,0.3284122217922081,zul,False,True,True,True,True,True,True
3.6284347477900085,2.975496395673151,3.3001121156804034,0.009476113,0.00277399,0.0055730757,0.004727702,0.006424719,0.008505212,0.0018946333,0.041248597,0.004338148,0.0141298445,0.018334894,0.006329734,0.0064002452,0.0056135,0.010865646,0.0037971972,0.003931659,0.009197968,0.006656231,0.017120913,0.0033826958,0.00792517,0.004376841,0.003746619,0.012451013,0.004265115,0.0051536197,0.008670406,0.0059799887,0.0038582266,0.01715172,0.0091795,0.005082133,0.0072095483,0.014107672,0.0035271607,0.0633803,0.6332122,0.0176282466682414,3750.0,0.07504505445998026,0.036051539815709514,0.07859333348474017,mar,False,True,True,True,True,True,True
3.5444498158452964,2.7907313121837696,3.450228722792578,0.0072059,0.0024332025,0.0068271914,0.005248862,0.0036079497,0.012844478,0.0068863607,0.03908416,0.0043461495,0.014404794,0.01579826,0.006622163,0.0057062097,0.0059961625,0.009224323,0.0034120425,0.00395329,0.00912418,0.0080379965,0.01851476,0.0032997497,0.008088415,0.004524499,0.003930133,0.011254771,0.003932774,0.0047972845,0.008439606,0.005480605,0.0032871538,0.015544405,0.01123788,0.004961812,0.009807356,0.015360942,0.0032754913,0.060412645,0.633086,0.02924670477928376,4100.0,0.08245178762805018,0.07704166331954425,0.08094532688511785,hye,False,True,True,True,True,True,True
