cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,morphological_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,nllb_noft_spBLEU_mean_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
3.559313087942683,2.33053535470811,3.5164873744942207,0.006792354,0.0016663376,0.0054673688,0.01148462,0.0041841483,0.0039952556,0.0066075437,0.030182276,0.003294405,0.0141030345,0.0075094276,0.006243732,0.006286605,0.004772294,0.00967555,0.003956893,0.003338283,0.007864818,0.009318667,0.01520746,0.002581712,0.008273289,0.0052453214,0.0032155395,0.011722135,0.0036233999,0.0045042136,0.0077672945,0.0047433684,0.0027577607,0.020787312,0.009995559,0.004312205,0.0092384415,0.0046747387,0.015524328,0.0027419222,0.05411011,0.6622303,0.0255224530218022,3850.0,0.060254848199222596,0.10135857318302947,0.09367172180056392,sin,False,True,True,True,True,True,True
3.474868396634192,6.775641879529461,3.570959381733501,0.0068459264,0.0021495156,0.0061235265,0.010619905,0.0033666217,0.004475924,0.0076341904,0.03175093,0.003438002,0.014654467,0.012427809,0.0057898285,0.0056698886,0.0047361436,0.009718355,0.0038396367,0.0033771105,0.009630388,0.008648608,0.017265346,0.0028468862,0.009068044,0.004295961,0.0036308388,0.0112250205,0.004103454,0.0044929734,0.0072276792,0.0053580776,0.0030798882,0.016662192,0.010341832,0.00490618,0.009055302,0.004724572,0.016828265,0.003007795,0.058048658,0.64893425,0.025101296781228265,3200.0,0.038147539095593756,0.13714083018309137,0.23741543174935698,fao,False,True,True,True,True,True,True
3.5303141283049597,1.9910085767373018,9.738652808721534,0.0060505997,0.008275231,0.004859102,0.010001896,0.003344921,0.005133806,0.006594325,0.017431434,0.0028869254,0.012115332,0.013817003,0.006151359,0.0060274056,0.0047832336,0.008242528,0.0032561286,0.0033606305,0.0088912975,0.0070004687,0.03678019,0.0027096525,0.008200403,0.0030428679,0.0029890751,0.010545662,0.0034472006,0.0045325835,0.0064959647,0.0045813164,0.00319864,0.011035167,0.011210854,0.004796136,0.009574865,0.0048719393,0.014229244,0.0029870204,0.05594025,0.66060734,0.03031307230822184,3600.0,0.05750864260601743,0.11638326001422115,0.29605911222537007,amh,False,True,True,True,True,True,True
3.5722523084627733,3.0864287312225613,3.6533871858617886,0.007615328,0.0017828733,0.0060105277,0.0109079555,0.003705287,0.0040739737,0.008109337,0.032487012,0.0030767685,0.0132781165,0.0126804905,0.0059938314,0.006402885,0.004578906,0.010308837,0.002614033,0.0037153359,0.00832801,0.007172934,0.021458436,0.002958027,0.0093558,0.0037760665,0.00372675,0.01089792,0.0040049637,0.0043605203,0.007837875,0.0045793084,0.0029819414,0.015887452,0.010238617,0.0046217763,0.006854108,0.005037063,0.017128268,0.002969889,0.057513215,0.65096956,0.02292967518745331,4000.0,0.08240820018310224,0.13044997288847338,0.06943201551183793,tgl,False,True,True,True,True,True,True
3.486509401384766,10.596890055825005,1.3646726383432888,0.0073943594,0.0015812404,0.0057432773,0.0075631216,0.0046558185,0.0045272233,0.0058229524,0.031138241,0.0032133546,0.013169354,0.012127734,0.006734795,0.0064561567,0.0051387073,0.008980525,0.003117997,0.0030382941,0.008172197,0.0086803725,0.018559558,0.002578488,0.009635369,0.0042789946,0.0033580132,0.010876548,0.003831122,0.004394242,0.0070589716,0.0049834056,0.0028982216,0.017599748,0.010077707,0.0051485333,0.007408372,0.002632713,0.01635407,0.0029641462,0.05862812,0.65947795,0.03305791878853005,3900.0,0.0788148435596744,0.49208104770528177,0.25848485776404123,lmo,False,True,True,True,True,True,True
3.4913566354632692,2.733941174173946,3.584299011208743,0.006259191,0.0021201426,0.005833548,0.010459882,0.0034185634,0.004114374,0.0064691333,0.031285413,0.002908814,0.013568995,0.013306436,0.0061291493,0.006113357,0.0048891595,0.00880492,0.0029870137,0.003123786,0.008989728,0.0083850585,0.018291492,0.0027983873,0.009003051,0.0034960557,0.0033454937,0.010005893,0.003610819,0.0045034,0.0075892834,0.0051718596,0.0028290334,0.016734859,0.009264888,0.004872798,0.008596809,0.0043856534,0.015726853,0.002828565,0.05607166,0.66170645,0.02717579848863025,4250.0,0.06012662961504366,0.1717990131427609,0.06378654276716766,arz,False,True,True,True,True,True,True
3.5045371294167587,3.4705560075846806,2.535814699869648,0.007950639,0.0022076212,0.0056220833,0.011369589,0.004486844,0.0044230334,0.0067859716,0.036645167,0.0031981966,0.016557954,0.013640054,0.006334146,0.005732927,0.0054950556,0.009306236,0.0036292647,0.003709976,0.010763559,0.00826554,0.017872836,0.0029862225,0.008926281,0.003752247,0.004040887,0.010841343,0.004229159,0.004149385,0.008034175,0.0050705727,0.0037602317,0.018163566,0.010282178,0.003611628,0.0058310726,0.0049058585,0.016918067,0.0029830013,0.05935337,0.63816404,0.03154431310442285,3650.0,0.07181280470212047,0.03237312820575001,0.18687695147769853,kaz,False,True,True,True,True,True,True
3.4531458544983975,3.927923027495178,4.680526246974795,0.007681962,0.002229839,0.0050482755,0.010626502,0.004493507,0.0033284817,0.0057045864,0.034122575,0.0029885399,0.013667521,0.01271348,0.005931703,0.006269845,0.004734808,0.008923997,0.0029831112,0.0036877687,0.007905692,0.0077999705,0.017916106,0.00303761,0.00967982,0.003989877,0.0033556353,0.012434054,0.0034493722,0.0044269376,0.007250093,0.004531531,0.0029825412,0.017267514,0.009005432,0.0051250113,0.010188845,0.0045679193,0.014851672,0.0028072414,0.05824865,0.65404195,0.03768539416278792,4100.0,0.02700378223926781,0.0739438484402028,0.09121501355510538,zul,False,True,True,True,True,True,True
3.602533735917097,2.9129254382742324,3.373514748579704,0.007897398,0.0019609765,0.004101848,0.011774796,0.0054509793,0.003912351,0.007157208,0.04548821,0.0035364155,0.011880257,0.01632138,0.0059978473,0.0059029013,0.00545801,0.010478979,0.0033329155,0.003272424,0.008571418,0.006238479,0.016388454,0.00269307,0.008137187,0.0043212217,0.003266142,0.011400128,0.0038244347,0.0050348705,0.007922228,0.005463802,0.0039571803,0.017524462,0.007895992,0.005282655,0.009271297,0.0052111424,0.014376896,0.003218341,0.05943682,0.6366389,0.04415788666621122,4450.0,0.07333622202395101,0.10022799433677265,0.11396190347771308,mar,False,True,True,True,True,True,True
3.5301782046928407,2.7430563656506126,3.585408923024913,0.007326062,0.0023690183,0.006144371,0.012167644,0.003967712,0.0038256287,0.0066136555,0.034667082,0.003531114,0.013336839,0.016999701,0.0066180737,0.006299574,0.0055222856,0.009434928,0.0032600765,0.003611147,0.0088506425,0.007875827,0.01848065,0.002851448,0.008858098,0.004161174,0.003745158,0.01151575,0.003716813,0.0048401607,0.007359265,0.005352442,0.0030114036,0.015531215,0.011230655,0.0047137076,0.011798741,0.004205362,0.015766649,0.0031161536,0.05702884,0.6402949,0.019811456387599367,4000.0,0.0895100225770456,0.1260148958568506,0.10341921705159995,hye,False,True,True,True,True,True,True
