cv_rmse,test_source_rmse,test_target_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
14.38441448071631,14.07238770448196,8.136669593661125,0.18352214,0.11768391,0.1388964,0.16900647,0.18124835,0.20964277,0.08615170750506582,3050.0,0.0556574378713078,1.4794837381951769,1.0968952086512058,amh,False,False,True,False,False,False,False
14.134548901027102,17.125792438188956,13.385699693265678,0.2711176,0.10642334,0.13205886,0.15455136,0.1565769,0.17927194,0.04998940324573343,3500.0,0.0908168811445483,0.5217965571215629,1.2246129298119577,tgl,False,False,True,False,False,False,False
14.173449317690139,17.293135869063345,11.16199694254818,0.17037316,0.121197894,0.14096156,0.17070456,0.18475115,0.21201174,0.0802172807856101,3850.0,0.09939450162201295,2.08876811268664,1.1844239613669523,arz,False,False,True,False,False,False,False
14.213573839423603,18.282195177767484,18.3193576998665,0.20604925,0.1133879,0.13358465,0.1623956,0.17325199,0.21133061,0.07633413905196186,3550.0,0.04424928694667698,3.3981838987228827,3.2724255094222503,zul,False,False,True,False,False,False,False
13.762842942679004,18.929443619064962,18.65616389553797,0.30277064,0.10256223,0.13251083,0.14625075,0.14551142,0.17039417,0.054267650492952534,2700.0,0.047514608266279554,0.12950117533988276,0.8088676685798444,mar,False,False,True,False,False,False,False
14.378298277176606,21.195509328124892,22.685818907539403,0.17270258,0.12706293,0.14094944,0.16872983,0.17682704,0.21372816,0.0895945293799127,3600.0,0.13811000186823247,6.758982819779156,8.322408826181777,hye,False,False,True,False,False,False,False
14.263382354364598,17.80984733465329,18.292108576551474,0.14523065,0.123362854,0.1442382,0.17519164,0.18898973,0.2229869,0.08943349010416332,4450.0,0.0995559787564396,3.9359241406255236,2.39881766693065,xho,False,False,True,False,False,False,False
14.34558612215705,11.524680967171758,12.102175875039155,0.16657159,0.120810255,0.13965425,0.16832647,0.1892908,0.2153466,0.09455852125868128,3200.0,0.07313681466079136,2.0689578578536665,2.6537252420288158,kan,False,False,True,False,False,False,False
14.101977689317176,17.287995431212988,25.376824150419765,0.2015316,0.11336293,0.1312746,0.17393489,0.17636761,0.20352836,0.06861530981979033,3200.0,0.06784622607485352,5.431399250762691,9.436482227409101,mya,False,False,True,False,False,False,False
14.11076548546464,18.150538775991357,17.995944860629457,0.20611914,0.11618702,0.14512365,0.16550417,0.17891553,0.18815044,0.06816401370791952,3150.0,0.042572670228471776,0.6157121067631597,2.4132666215113354,jav,False,False,True,False,False,False,False
14.578632161296827,16.636825243986102,18.90141063311497,0.20455953,0.115952216,0.13202932,0.16945393,0.17509,0.202915,0.06168930087826681,3450.0,0.22267966158150745,1.6338415638280954,1.656785608073755,tam,False,False,True,False,False,False,False
